Index,Season,Week,Day,Date,Time,Home,Away,ScoreH,ScoreA,Attendance,Venue,Longitude,Latitude,Capacity,H_Followers,A_Followers,Rank_H,Rank_A,Families,Period,Weekend,TemperatureC,DewPoint,RH,LaggedAttendance,RankDiff,GameImp
61,2010,10,Friday,2010-10-22,19:50:00,Al-Ettifaq,Al-Hazem,2,1,1569,Prince Mohamed bin Fahd Stadium,50.1141,26.4272,26000,226500,49700,4,14,No,Night,Yes,25,11,41.45,2265,10,1
62,2010,10,Sunday,2010-10-24,19:50:00,Al-Hilal,Al-Nassr,1,1,18058,King Fahad International Stadium,46.839236,24.788206,67000,9600000,3100000,1,3,No,Night,No,25.2,3,23.67,6964,2,1
63,2010,10,Tuesday,2010-10-26,19:50:00,Al-Ahli,Al-Shabab,1,2,5358,Prince Abdullah Al-Faisal Stadium,39.251693,21.446608,18000,2000000,414900,11,8,No,Night,No,29,25,79.06,2255,3,1
64,2010,11,Thursday,2010-10-28,19:45:00,Najran,Al-Hazem,4,0,546,Al-Ukhdood Stadium,44.24472,17.59028,2800,31200,49700,11,14,No,Night,Yes,21,-3,19.75,469,3,1
65,2010,11,Thursday,2010-10-28,19:45:00,Al-Raed,Al-Hilal,0,4,13592,King Abdullah Sport City Stadium,43.9478,26.3789,25000,149200,9600000,8,2,No,Night,Yes,27,8,30.1,7278,6,1
66,2010,11,Thursday,2010-10-28,19:45:00,Al-Nassr,Al-Ettifaq,2,1,4591,King Fahad International Stadium,46.839236,24.788206,67000,3100000,226500,4,3,No,Night,Yes,24.6,4,26.33,7422,1,1
67,2010,11,Friday,2010-10-29,19:45:00,Al-Taawoun,Al-Fateh,0,0,2799,King Abdullah Sport City Stadium,43.9478,26.3789,25000,208700,161100,9,13,No,Night,Yes,28,6,24.76,7244,4,1
68,2010,11,Friday,2010-10-29,19:45:00,Al-Shabab,Al-Wehda,4,3,458,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,414900,226600,7,7,No,Night,Yes,25.4,4,25.1,746,0,1
69,2010,11,Friday,2010-10-29,19:45:00,Al-Qadisiyah,Al-Ittihad,1,1,5558,Prince Saud Bin Jalawi Sport City Stadium,50.2052,26.3699,21100,91700,4000000,10,2,No,Night,Yes,23,10,43.73,261,8,1
70,2010,11,Saturday,2010-10-30,19:45:00,Al-Faisaly,Al-Ahli,3,2,674,King Salman Bin Abdul Aziz Sport City Stadium,45.368019,25.886929,7000,103900,2000000,6,12,No,Night,Yes,28,6,24.76,1009,6,1
71,2010,12,Tuesday,2010-11-02,19:40:00,Al-Hilal,Al-Qadisiyah,0,0,6620,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,9600000,91700,2,10,No,Night,No,26.3,3,22.18,18058,8,1
72,2010,12,Tuesday,2010-11-02,19:40:00,Al-Fateh,Najran,2,0,379,Prince Abdullah Bin Jalawi Sport City Stadium,49.612778,25.305833,27550,161100,31200,13,10,No,Night,No,23,2,25.16,3155,3,1
73,2010,12,Wednesday,2010-11-03,19:40:00,Al-Raed,Al-Faisaly,0,0,5930,King Abdullah Sport City Stadium,43.9478,26.3789,25000,149200,103900,8,6,No,Night,No,24,7,33.6,13592,2,1
74,2010,12,Wednesday,2010-11-03,19:40:00,Al-Ittihad,Al-Shabab,2,2,10748,Prince Abdullah Al-Faisal Stadium,39.251693,21.446608,18000,4000000,414900,2,6,No,Night,No,29.8,23,66.95,9659,4,1
75,2010,12,Wednesday,2010-11-03,19:40:00,Al-Hazem,Al-Nassr,2,5,1790,Al-Hazm Club Stadium,43.50235,25.862347,3000,49700,3100000,14,3,No,Night,No,24,7,33.6,608,11,1
76,2010,12,Wednesday,2010-11-03,19:40:00,Al-Ettifaq,Al-Taawoun,1,0,1194,Prince Mohamed bin Fahd Stadium,50.1141,26.4272,26000,226500,208700,5,9,No,Night,No,25,20,73.8,1569,4,1
77,2010,12,Wednesday,2010-11-03,19:40:00,Al-Wehda,Al-Ahli,1,3,1836,King Abdul Aziz Sport City Stadium,39.974081,21.485366,38000,226600,2000000,7,12,No,Night,No,30,21,58.58,1198,5,1
78,2010,6,Sunday,2010-11-07,19:45:00,Al-Hilal,Al-Ahli,3,3,7715,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,9600000,2000000,2,12,No,Night,No,19.5,3,33.48,6620,10,1
79,2010,6,Sunday,2010-11-07,19:45:00,Al-Fateh,Al-Shabab,1,1,1078,Prince Abdullah Bin Jalawi Sport City Stadium,49.612778,25.305833,27550,161100,414900,13,3,No,Night,No,23,18,73.46,379,10,1
80,2010,13,Wednesday,2010-11-10,19:35:00,Al-Taawoun,Al-Wehda,1,2,2613,King Abdullah Sport City Stadium,43.9478,26.3789,25000,208700,226600,10,8,No,Night,No,24,6,31.37,2799,2,1
81,2010,13,Wednesday,2010-11-10,19:35:00,Al-Nassr,Al-Ittihad,2,2,14750,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,3100000,4000000,3,2,No,Night,No,21.3,8,42.38,4591,1,1
82,2010,13,Thursday,2010-11-11,19:35:00,Najran,Al-Hilal,0,3,368,Al-Ukhdood Stadium,44.24472,17.59028,2800,31200,9600000,11,1,No,Night,Yes,18,1,31.88,546,10,1
83,2010,13,Thursday,2010-11-11,19:35:00,Al-Shabab,Al-Faisaly,4,1,595,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,414900,103900,5,6,No,Night,Yes,18.9,2,32.37,458,1,1
84,2010,13,Thursday,2010-11-11,19:35:00,Al-Hazem,Al-Fateh,2,1,97,Al-Hazm Club Stadium,43.50235,25.862347,3000,49700,161100,14,13,No,Night,Yes,23,5,31.08,1790,1,1
85,2010,13,Thursday,2010-11-11,19:35:00,Al-Qadisiyah,Al-Ettifaq,0,3,3978,Prince Saud Bin Jalawi Sport City Stadium,50.2052,26.3699,21100,91700,226500,11,4,No,Night,Yes,20,3,32.46,5558,7,1
86,2010,13,Thursday,2010-11-11,19:35:00,Al-Ahli,Al-Raed,1,2,8014,Prince Abdullah Al-Faisal Stadium,39.251693,21.446608,18000,2000000,149200,12,7,No,Night,Yes,32,13,31.48,5358,5,1
87,2010,14,Thursday,2010-12-09,19:10:00,Al-Faisaly,Al-Wehda,1,0,636,King Salman Bin Abdul Aziz Sport City Stadium,45.368019,25.886929,7000,103900,226600,6,8,No,Night,Yes,19,2,32.17,674,2,1
88,2010,14,Thursday,2010-12-09,19:35:00,Al-Raed,Al-Shabab,2,2,4134,King Abdullah Sport City Stadium,43.9478,26.3789,25000,149200,414900,7,5,No,Night,Yes,19,2,32.17,5930,2,1
89,2010,14,Thursday,2010-12-09,19:35:00,Al-Qadisiyah,Al-Fateh,0,1,11220,King Abdullah Sport City Stadium,43.9478,26.3789,25000,91700,161100,9,13,No,Night,Yes,19,2,32.17,3978,4,1
90,2010,14,Friday,2010-12-10,19:35:00,Al-Taawoun,Al-Hilal,2,2,174,King Abdullah Sport City Stadium,43.9478,26.3789,25000,208700,9600000,9,1,No,Night,Yes,14,3,47.47,2613,8,1
91,2010,14,Friday,2010-12-10,19:35:00,Al-Nassr,Najran,6,1,3009,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,3100000,31200,4,11,No,Night,Yes,19.3,5,39.01,14750,7,1
92,2010,14,Friday,2010-12-10,19:35:00,Al-Hazem,Al-Ahli,1,3,214,Al-Hazm Club Stadium,43.50235,25.862347,3000,49700,2000000,14,12,No,Night,Yes,24,6,31.37,97,2,1
93,2010,14,Friday,2010-12-10,19:35:00,Al-Ettifaq,Al-Ittihad,2,2,10032,Prince Mohamed bin Fahd Stadium,50.1141,26.4272,26000,226500,4000000,3,2,No,Night,Yes,30,16,42.83,1194,1,1
94,2010,15,Tuesday,2010-12-14,19:40:00,Al-Shabab,Al-Taawoun,4,1,291,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,414900,208700,4,11,No,Night,No,11.3,-4,34.03,595,7,1
95,2010,15,Wednesday,2010-12-15,19:40:00,Al-Hilal,Al-Hazem,3,0,3968,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,9600000,49700,1,14,No,Night,No,13.9,-4,28.7,7715,13,1
96,2010,15,Wednesday,2010-12-15,19:40:00,Al-Fateh,Al-Nassr,1,1,7143,Prince Abdullah Bin Jalawi Sport City Stadium,49.612778,25.305833,27550,161100,3100000,13,3,No,Night,No,11,-2,40.28,1078,10,1
97,2010,15,Wednesday,2010-12-15,19:40:00,Al-Ahli,Al-Ettifaq,5,1,5938,Prince Abdullah Al-Faisal Stadium,39.251693,21.446608,18000,2000000,226500,9,4,No,Night,No,26,22,78.64,8014,5,1
98,2010,15,Thursday,2010-12-16,19:40:00,Najran,Al-Raed,0,0,369,Al-Ukhdood Stadium,44.24472,17.59028,2800,31200,149200,13,7,No,Night,Yes,14,0,38.29,368,6,1
99,2010,15,Thursday,2010-12-16,19:40:00,Al-Ittihad,Al-Faisaly,3,3,9446,Prince Abdullah Al-Faisal Stadium,39.251693,21.446608,18000,4000000,103900,2,6,No,Night,Yes,26.2,21,73.1,10748,4,1
100,2010,5,Saturday,2010-12-18,19:45:00,Al-Shabab,Al-Qadisiyah,3,1,346,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,414900,91700,5,10,No,Night,Yes,14,-8,21.02,291,5,1
101,2010,5,Sunday,2010-12-19,19:35:00,Al-Hilal,Al-Fateh,2,0,4375,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,9600000,161100,1,10,No,Night,No,15.2,0,35.44,3968,9,1
102,2010,16,Wednesday,2010-12-22,19:35:00,Najran,Al-Ittihad,2,2,1729,Al-Ukhdood Stadium,44.24472,17.59028,2800,31200,4000000,13,2,No,Night,No,15,2,41.45,369,11,1
103,2010,16,Wednesday,2010-12-22,19:35:00,Al-Nassr,Al-Taawoun,2,2,3690,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,3100000,208700,3,11,No,Night,No,13.5,1,42.52,3009,8,1
104,2010,16,Wednesday,2010-12-22,19:35:00,Al-Wehda,Al-Raed,2,3,261,King Abdul Aziz Sport City Stadium,39.974081,21.485366,38000,226600,149200,8,7,No,Night,No,26,19,65.36,1836,1,1
105,2010,16,Thursday,2010-12-23,19:35:00,Al-Fateh,Al-Ahli,0,2,2860,Prince Abdullah Bin Jalawi Sport City Stadium,49.612778,25.305833,27550,161100,2000000,10,8,No,Night,Yes,12,-2,37.7,7143,2,1
106,2010,16,Thursday,2010-12-23,19:35:00,Al-Faisaly,Al-Hilal,2,3,5022,King Salman Bin Abdul Aziz Sport City Stadium,45.368019,25.886929,7000,103900,9600000,6,1,No,Night,Yes,18,5,42.31,636,5,1
107,2010,16,Thursday,2010-12-23,19:35:00,Al-Ettifaq,Al-Shabab,1,0,3240,Prince Mohamed bin Fahd Stadium,50.1141,26.4272,26000,226500,414900,5,5,No,Night,Yes,13,2,47.19,10032,0,1
108,2010,16,Thursday,2010-12-23,19:35:00,Al-Qadisiyah,Al-Hazem,1,0,100,Prince Saud Bin Jalawi Sport City Stadium,50.2052,26.3699,21100,91700,49700,12,14,No,Night,Yes,20,15,72.94,11220,2,1
109,2010,8,Sunday,2011-02-06,20:15:00,Al-Shabab,Al-Hazem,1,0,66,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,414900,49700,5,14,No,Night,No,12.1,8,76.02,346,9,1
110,2010,7,Sunday,2011-02-06,20:15:00,Al-Ittihad,Al-Hilal,0,0,14425,Prince Abdullah Al-Faisal Stadium,39.251693,21.446608,18000,4000000,9600000,2,1,No,Night,No,26,20,69.55,9446,1,1
111,2010,17,Friday,2011-02-11,20:15:00,Al-Raed,Al-Fateh,1,2,5501,King Abdullah Sport City Stadium,43.9478,26.3789,25000,149200,161100,7,11,No,Night,Yes,15,5,51.21,4134,4,1
112,2010,17,Friday,2011-02-11,20:15:00,Al-Faisaly,Al-Ettifaq,1,0,617,King Salman Bin Abdul Aziz Sport City Stadium,45.368019,25.886929,7000,103900,226500,6,4,No,Night,Yes,15,5,51.21,5022,2,1
113,2010,17,Friday,2011-02-11,20:15:00,Al-Ahli,Najran,2,1,6540,Prince Abdullah Al-Faisal Stadium,39.251693,21.446608,18000,2000000,31200,8,13,No,Night,Yes,21.4,14,62.73,5938,5,1
114,2010,17,Saturday,2011-02-12,20:15:00,Al-Taawoun,Al-Qadisiyah,1,1,2610,King Abdullah Sport City Stadium,43.9478,26.3789,25000,208700,91700,12,12,No,Night,Yes,14,3,47.47,174,0,1
115,2010,17,Saturday,2011-02-12,20:15:00,Al-Shabab,Al-Nassr,2,0,9366,King Fahad International Stadium,46.839236,24.788206,67000,414900,3100000,4,3,No,Night,Yes,14.4,1,40.11,66,1,1
116,2010,17,Saturday,2011-02-12,20:15:00,Al-Hilal,Al-Wehda,2,1,5119,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,9600000,226600,1,9,No,Night,Yes,14,1,41.16,4375,8,1
117,2010,17,Saturday,2011-02-12,20:15:00,Al-Hazem,Al-Ittihad,0,3,633,Al-Hazm Club Stadium,43.50235,25.862347,3000,49700,4000000,14,2,No,Night,Yes,14,3,47.47,214,12,1
118,2010,9,Monday,2011-02-21,20:15:00,Al-Shabab,Al-Hilal,0,2,7997,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,414900,9600000,5,1,No,Night,No,17.8,-3,24.1,9366,4,1
119,2010,18,Thursday,2011-02-24,20:20:00,Al-Nassr,Al-Faisaly,3,2,3290,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,3100000,103900,4,6,No,Night,Yes,22.5,3,27.85,3690,2,1
