Index,Week,Day,Date,Time,Home,Away,ScoreH,ScoreA,Attendance,Venue,Longitude,Latitude,Capacity,H_Followers,A_Followers,Families,Period,Weekend,PosH,PosA
87,14,Thursday,2010-12-09,19:10:00,Al-Faisaly,Al-Wehda,1,0,636,King Salman Bin Abdul Aziz Sport City Stadium,45.368019,25.886929,7000,103900,226600,No,Night,Yes,6,8
88,14,Thursday,2010-12-09,19:35:00,Al-Raed,Al-Shabab,2,2,4134,King Abdullah Sport City Stadium,43.9478,26.3789,25000,149200,414900,No,Night,Yes,7,5
89,14,Thursday,2010-12-09,19:35:00,Al-Qadisiyah,Al-Fateh,0,1,11220,King Abdullah Sport City Stadium,43.9478,26.3789,25000,91700,161100,No,Night,Yes,9,13
90,14,Friday,2010-12-10,19:35:00,Al-Taawoun,Al-Hilal,2,2,174,Prince Saud Bin Jalawi Sport City Stadium,50.2052,26.3699,21100,208700,9600000,No,Night,Yes,9,1
91,14,Friday,2010-12-10,19:35:00,Al-Nassr,Najran,6,1,3009,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,3100000,31200,No,Night,Yes,4,11
92,14,Friday,2010-12-10,19:35:00,Al-Hazem,Al-Ahli,1,3,214,Al-Hazm Club Stadium,43.50235,25.862347,3000,49700,2000000,No,Night,Yes,14,12
93,14,Friday,2010-12-10,19:35:00,Al-Ettifaq,Al-Ittihad,2,2,10032,Prince Mohamed bin Fahd Stadium,50.1141,26.4272,26000,226500,4000000,No,Night,Yes,3,2
94,15,Tuesday,2010-12-14,19:40:00,Al-Shabab,Al-Taawoun,4,1,291,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,414900,208700,No,Night,No,4,11
95,15,Wednesday,2010-12-15,19:40:00,Al-Hilal,Al-Hazem,3,0,3968,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,9600000,49700,No,Night,No,1,14
96,15,Wednesday,2010-12-15,19:40:00,Al-Fateh,Al-Nassr,1,1,7143,Prince Abdullah Bin Jalawi Sport City Stadium,49.612778,25.305833,27550,161100,3100000,No,Night,No,13,3
97,15,Wednesday,2010-12-15,19:40:00,Al-Ahli,Al-Ettifaq,5,1,5938,Prince Abdullah Al-Faisal Stadium,39.251693,21.446608,18000,2000000,226500,No,Night,No,9,4
98,15,Thursday,2010-12-16,19:40:00,Najran,Al-Raed,0,0,369,Al-Ukhdood Stadium,44.24472,17.59028,2800,31200,149200,No,Night,Yes,13,7
99,15,Thursday,2010-12-16,19:40:00,Al-Ittihad,Al-Faisaly,3,3,9446,Prince Abdullah Al-Faisal Stadium,39.251693,21.446608,18000,4000000,103900,No,Night,Yes,2,6
100,5,Saturday,2010-12-18,19:45:00,Al-Shabab,Al-Qadisiyah,3,1,346,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,414900,91700,No,Night,Yes,5,10
101,5,Sunday,2010-12-19,19:35:00,Al-Hilal,Al-Fateh,2,0,4375,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,9600000,161100,No,Night,No,1,10
102,16,Wednesday,2010-12-22,19:35:00,Najran,Al-Ittihad,2,2,1729,Al-Ukhdood Stadium,44.24472,17.59028,2800,31200,4000000,No,Night,No,13,2
103,16,Wednesday,2010-12-22,19:35:00,Al-Nassr,Al-Taawoun,2,2,3690,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,3100000,208700,No,Night,No,3,11
104,16,Wednesday,2010-12-22,19:35:00,Al-Wehda,Al-Raed,2,3,261,King Abdul Aziz Sport City Stadium,39.974081,21.485366,38000,226600,149200,No,Night,No,8,7
105,16,Thursday,2010-12-23,19:35:00,Al-Fateh,Al-Ahli,0,2,2860,Prince Abdullah Bin Jalawi Sport City Stadium,49.612778,25.305833,27550,161100,2000000,No,Night,Yes,10,8
106,16,Thursday,2010-12-23,19:35:00,Al-Faisaly,Al-Hilal,2,3,5022,King Salman Bin Abdul Aziz Sport City Stadium,45.368019,25.886929,7000,103900,9600000,No,Night,Yes,6,1
107,16,Thursday,2010-12-23,19:35:00,Al-Ettifaq,Al-Shabab,1,0,3240,Prince Mohamed bin Fahd Stadium,50.1141,26.4272,26000,226500,414900,No,Night,Yes,5,5
108,16,Thursday,2010-12-23,19:35:00,Al-Qadisiyah,Al-Hazem,1,0,100,Prince Saud Bin Jalawi Sport City Stadium,50.2052,26.3699,21100,91700,49700,No,Night,Yes,12,14
109,8,Sunday,2011-02-06,20:15:00,Al-Shabab,Al-Hazem,1,0,66,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,414900,49700,No,Night,No,5,14
110,7,Sunday,2011-02-06,20:15:00,Al-Ittihad,Al-Hilal,0,0,14425,Prince Abdullah Al-Faisal Stadium,39.251693,21.446608,18000,4000000,9600000,No,Night,No,2,1
111,17,Friday,2011-02-11,20:15:00,Al-Raed,Al-Fateh,1,2,5501,King Abdullah Sport City Stadium,43.9478,26.3789,25000,149200,161100,No,Night,Yes,7,11
112,17,Friday,2011-02-11,20:15:00,Al-Faisaly,Al-Ettifaq,1,0,617,King Salman Bin Abdul Aziz Sport City Stadium,45.368019,25.886929,7000,103900,226500,No,Night,Yes,6,4
113,17,Friday,2011-02-11,20:15:00,Al-Ahli,Najran,2,1,6540,Prince Abdullah Al-Faisal Stadium,39.251693,21.446608,18000,2000000,31200,No,Night,Yes,8,13
114,17,Saturday,2011-02-12,20:15:00,Al-Taawoun,Al-Qadisiyah,1,1,2610,King Abdullah Sport City Stadium,43.9478,26.3789,25000,208700,91700,No,Night,Yes,12,12
115,17,Saturday,2011-02-12,20:15:00,Al-Shabab,Al-Nassr,2,0,9366,King Fahad International Stadium,46.839236,24.788206,67000,414900,3100000,No,Night,Yes,4,3
116,17,Saturday,2011-02-12,20:15:00,Al-Hilal,Al-Wehda,2,1,5119,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,9600000,226600,No,Night,Yes,1,9
117,17,Saturday,2011-02-12,20:15:00,Al-Hazem,Al-Ittihad,0,3,633,Al-Hazm Club Stadium,43.50235,25.862347,3000,49700,4000000,No,Night,Yes,14,2
118,9,Monday,2011-02-21,20:15:00,Al-Shabab,Al-Hilal,0,2,7997,Prince Faysal Bin Fahad stadium,46.739745,24.662599,22500,414900,9600000,No,Night,No,5,1
